,Diversity,q
349,2.8324552080864377e-05,0.4
350,1.6634728545565673e-05,0.4
351,4.459440026345685e-05,0.4
352,4.307989825001917e-05,0.4
353,1.6894942716354864e-05,0.4
354,3.5004796225425035e-05,0.4
355,3.7535508655805646e-05,0.4
356,3.219505984584443e-05,0.4
357,5.201116148850132e-05,0.4
358,3.730292179407091e-05,0.4
359,1.8951172156796677e-05,0.4
360,1.8889131661245052e-05,0.4
361,3.857176533814824e-05,0.4
362,3.473788394156632e-05,0.4
363,1.4442717356656781e-05,0.4
364,1.3545670079549671e-05,0.4
365,1.1302642836601463e-05,0.4
366,7.764868900995514e-05,0.4
367,1.715112278372008e-05,0.4
368,5.279580999423944e-05,0.4
369,4.450391802326551e-05,0.4
370,4.579802258056551e-05,0.4
371,5.18013937807917e-05,0.4
372,4.549826533673184e-05,0.4
373,2.09263661007685e-05,0.4
374,1.8596244083932116e-05,0.4
375,1.5715623537800522e-05,0.4
376,7.323204571800377e-05,0.4
377,5.665440319190095e-05,0.4
378,2.738535285271883e-05,0.4
379,2.5315614648305364e-05,0.4
380,1.446457810200002e-05,0.4
381,3.337465375475973e-05,0.4
382,3.453882751540233e-05,0.4
383,2.4187571024836188e-05,0.4
384,1.6800233454789017e-05,0.4
385,2.2996330643646348e-05,0.4
386,2.8794102389494936e-05,0.4
387,8.661067516146219e-05,0.4
388,1.8247962058835615e-05,0.4
389,4.174934750604589e-05,0.4
390,3.399543126108219e-05,0.4
391,3.8117036741546066e-05,0.4
392,3.3364930654193115e-05,0.4
393,2.2160642200128756e-05,0.4
394,2.6227386862508538e-05,0.4
395,4.536667261329457e-05,0.4
396,1.0657445222803955e-05,0.4
397,7.661454821528436e-05,0.4
398,6.865326953088724e-05,0.4
399,1.5300161411748756e-05,0.4
400,0.0001569758121852604,0.2
401,0.0004032925741645382,0.2
402,6.596999328785971e-05,0.2
403,0.00025891370039003204,0.2
404,0.00041264548496421956,0.2
405,9.049574801735535e-05,0.2
406,0.0002760171925786865,0.2
407,0.0003013346646550713,0.2
408,7.376229973405445e-05,0.2
409,0.0001577388612954596,0.2
410,0.0006089653554708696,0.2
411,0.0007810213207240434,0.2
412,6.837763334428396e-05,0.2
413,8.216497624536296e-05,0.2
414,2.7355077313731204e-05,0.2
415,0.00018736061815300363,0.2
416,0.0002072378394868035,0.2
417,0.00014001030092325467,0.2
418,0.00030957298691712624,0.2
419,0.00014475506918474072,0.2
420,0.0002132426651988687,0.2
421,0.00034174124899185714,0.2
422,5.2833564603340664e-05,0.2
423,9.959840522866007e-05,0.2
424,0.0005033374969978934,0.2
425,8.955876720230464e-05,0.2
426,0.0002411434830481657,0.2
427,0.0002290685006230889,0.2
428,0.00045659169007152624,0.2
429,0.0005320918712004239,0.2
430,8.3649540109999e-05,0.2
431,0.000122596827334038,0.2
432,0.0002569406367992228,0.2
433,8.256036839646585e-05,0.2
434,0.00041587094180544585,0.2
435,0.0003197832169426472,0.2
436,0.0002615811379887831,0.2
437,0.0003095671440173332,0.2
438,0.00035339544616993005,0.2
439,0.00038270169095754535,0.2
440,0.0007816346176703268,0.2
441,6.2575505293184e-05,0.2
442,3.3892433756035904e-05,0.2
443,9.84238460406791e-05,0.2
444,1.856622958759986e-05,0.2
445,0.00012941679870635277,0.2
446,0.00024327192434518924,0.2
447,0.00012114762981317462,0.2
448,0.00042096597610736673,0.2
449,0.0002947764419027624,0.2
450,0.00021223685631253459,0.2
451,0.00011060140186769105,0.2
452,0.0007122741437912587,0.2
453,0.0003014324742438044,0.2
454,0.00046094069452621693,0.2
455,5.325152293224251e-05,0.2
456,0.00011257989232278507,0.2
457,0.0002657447632841094,0.2
458,0.00018297447017115142,0.2
459,4.905083544139062e-05,0.2
460,0.00018304080858058618,0.2
461,0.00029048333899620905,0.2
462,0.000150099430371947,0.2
463,0.0002922835981121034,0.2
464,8.385496146416847e-05,0.2
465,0.0002868502944343759,0.2
466,0.00014455997222215862,0.2
467,0.00011160471066755278,0.2
468,0.00012289798468484707,0.2
469,0.00030048938072854844,0.2
470,0.00013207523136642957,0.2
471,0.00011217763187964986,0.2
472,0.0002460862559030571,0.2
473,0.0003438923893825266,0.2
474,0.00021818091390847527,0.2
475,0.000531322971098617,0.2
476,0.00016488042634337638,0.2
477,9.376816475286305e-05,0.2
478,6.246131450980967e-05,0.2
479,0.0001944651444517365,0.2
480,0.00023204259155083795,0.2
481,7.604123294216896e-05,0.2
482,0.0002029831131957712,0.2
483,0.0002388470542589841,0.2
484,0.0005160768865209585,0.2
485,0.00011438724415229184,0.2
486,0.00027310601407983724,0.2
487,0.00043844225337775887,0.2
488,5.359166163868758e-05,0.2
489,0.0004580769991155598,0.2
490,0.00031358940553675904,0.2
491,0.0006082748503880085,0.2
492,0.0005080534421288012,0.2
493,0.00012826858603402183,0.2
494,0.00027568876629238134,0.2
495,4.071053033608223e-05,0.2
496,0.00026135344592628963,0.2
497,0.0010877046420897634,0.2
498,6.212002008842937e-05,0.2
499,0.0003277263110175866,0.2
500,0.0008201901268863653,0.08
501,0.00279358872970536,0.08
502,0.00035412017144884696,0.08
503,0.0009782799685563142,0.08
504,0.0011928421670269905,0.08
505,0.0008523833530642959,0.08
506,0.0031601970917223597,0.08
507,0.0009379003542709765,0.08
508,0.0007807926349843317,0.08
509,0.0020087680317185694,0.08
510,0.0007106947662600919,0.08
511,0.0014410866048177517,0.08
512,0.0004937295382766179,0.08
513,0.0025813214422049646,0.08
514,0.0015698983177878268,0.08
515,0.0018541825602165585,0.08
516,0.0013612265118206754,0.08
517,0.00031378415480044867,0.08
518,0.0010793093985573658,0.08
519,0.0009679744084247375,0.08
520,9.884135919144858e-05,0.08
521,0.0007125395326625518,0.08
522,0.0008394076489792236,0.08
523,0.0009899317983694178,0.08
524,0.00041107160233357716,0.08
525,0.0034472484161096662,0.08
526,0.001388598189446376,0.08
527,0.000550041049177321,0.08
528,0.00030644404990614574,0.08
529,0.0006499751657370085,0.08
530,0.0012884136470398186,0.08
531,0.0011999951563286234,0.08
532,0.00205827463877874,0.08
533,0.0010910161307375766,0.08
534,0.0007295847736134672,0.08
535,0.0014481245842612913,0.08
536,0.0007829898286985174,0.08
537,0.0013955830594269093,0.08
538,0.002469043662699318,0.08
539,0.0007131626130383757,0.08
540,0.00111525456264273,0.08
541,0.001738013869856838,0.08
542,0.0003724974642277219,0.08
543,0.0014820930210217235,0.08
544,0.0007630832176155801,0.08
545,0.0004653591203681316,0.08
546,0.0019159835163618825,0.08
547,0.0004677610645671309,0.08
548,0.000171450456871368,0.08
549,0.0010204306758451992,0.08
550,0.001447163806668092,0.08
551,0.0018113921907685466,0.08
552,0.0020859159102816806,0.08
553,0.0007682707832471308,0.08
554,0.001084648298004438,0.08
555,0.0004082636324912101,0.08
556,0.0006627855052391855,0.08
557,0.00032935924227194387,0.08
558,0.0004695600956427515,0.08
559,0.0004147238496826226,0.08
560,0.00044395200029720286,0.08
561,0.00058267720267883,0.08
562,0.00042295356205469375,0.08
563,0.0011543165208256685,0.08
564,0.002624998807538454,0.08
565,0.0011783642903088047,0.08
